보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,남성보험료,여성보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
교보생명,교보뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환수술보장특약(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌혈관질환”으로 진단확정받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 관혈수술을 받았을 경우(다만, 최초 1회에 한함) ※ 이외 보장담보는 상품요약서 참조","1,000만원",6280 원,"4,490 원",,"4,490 원","2,896 원",2.50%,,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환수술보장특약(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌혈관질환”으로 진단확정받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 관혈수술을 받았을 경우(다만, 최초 1회에 한함) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 2,000만원 [1년미만] 1,000만원 ※ 대뇌내시경, 흉강경수술 및 복강경수술의 경우 관혈수술에 준하여 보험금 지급""","1,000만원",6280 원,"4,490 원",2.50%,,,139.20%,160.50%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환치료보장특약(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌출혈 및 뇌경색증”으로 진단확정되고 “뇌출혈 및 뇌경색증”의 직접적인 치료를 목적으로 1일이상 입원 중 “폐렴”으로 진단이 확정되거나, “폐렴”으로 진단이 확정되고 “폐렴”의 직접적인 치료를 목적으로 1일이상 입원 중 “뇌출혈 및 뇌경색증”으로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","1,000만원",8340 원,"6,700 원",,"6,700 원","4,322 원",2.50%,,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환치료보장특약(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌출혈 및 뇌경색증”으로 진단확정되고 “뇌출혈 및 뇌경색증”의 직접적인 치료를 목적으로 1일이상 입원 중 “폐렴”으로 진단이 확정되거나, “폐렴”으로 진단이 확정되고 “폐렴”의 직접적인 치료를 목적으로 1일이상 입원 중 “뇌출혈 및 뇌경색증”으로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 1,000 만원 [1년미만] 500 만원""","1,000만원",8340 원,"6,700 원",2.50%,,,139.20%,160.50%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환통원보장특약(무해약환급금형),"피보험자가 이 계약의 보험기간 중 “뇌혈관질환”으로 진단확정 받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 통원하였을 경우(1일 1회만 보장하며, 연간 30회에 한함) ※ 이외 보장담보는 상품요약서 참조","1,000만원",11740 원,"9,020 원",,"9,020 원","5,819 원",2.50%,,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환통원보장특약(무해약환급금형),"피보험자가 이 계약의 보험기간 중 “뇌혈관질환”으로 진단확정 받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 통원하였을 경우(1일 1회만 보장하며, 연간 30회에 한함) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 통원 1회당 10만원 [1년미만] 통원 1회당 5만원""","1,000만원",11740 원,"9,020 원",2.50%,,,139.20%,160.50%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,주계약,사망보험금,"[2 년이상] 3,000 만원 [2 년미만] 1,500 만원 (다만, 계약일로부터 2년 미만 에 재해 이외의 원인으로 사망 하였을 경우 50% 감액 지급하 며, 재해를 원인으로 지급사유 가 발생한 경우 100% 지급)","3,000만원",47850 원,"37,050 원",,"37,050 원","23,903 원",2.50%,,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,주계약,사망보험금,보험기간 중 피보험자가 사망하였을 경우,"[2 년이상] 3,000 만원 [2 년미만] 1,500 만원 (다만, 계약일로부터 2년 미만 에 재해 이외의 원인으로 사망 하였을 경우 50% 감액 지급하 며, 재해를 원인으로 지급사유 가 발생한 경우 100% 지급)","3,000만원",47850 원,"37,050 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,특약,뇌출혈및급성심근경색증진단보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 뇌출혈로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","1,000만원",3650 원,"2,340 원",,"2,340 원","1,509 원",2.50%,,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,특약,뇌출혈및급성심근경색증진단보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 뇌출혈로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 1,000 만원 [1년미만] 500 만원""","1,000만원",3650 원,"2,340 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환수술보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌혈관질환”으로 진단확정받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 관혈수술을 받았을 경우(다만, 최초 1회에 한함) ※ 이외 보장담보는 상품요약서 참조","1,000만원",9160 원,"6,260 원",,"6,260 원","4,038 원",2.50%,,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환수술보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌혈관질환”으로 진단확정받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 관혈수술을 받았을 경우(다만, 최초 1회에 한함) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 2,000만원 [1년미만] 1,000만원 ※ 대뇌내시경, 흉강경수술 및 복강경수술의 경우 관혈수술에 준하여 보험금 지급""","1,000만원",9160 원,"6,260 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환치료보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌출혈 및 뇌경색증”으로 진단확정되고 “뇌출혈 및 뇌경색증”의 직접적인 치료를 목적으로 1일이상 입원 중 “폐렴”으로 진단이 확정되거나, “폐렴”으로 진단이 확정되고 “폐렴”의 직접적인 치료를 목적으로 1일이상 입원 중 “뇌출혈 및 뇌경색증”으로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","1,000만원",8740 원,"7,480 원",,"7,480 원","4,825 원",2.50%,,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환치료보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌출혈 및 뇌경색증”으로 진단확정되고 “뇌출혈 및 뇌경색증”의 직접적인 치료를 목적으로 1일이상 입원 중 “폐렴”으로 진단이 확정되거나, “폐렴”으로 진단이 확정되고 “폐렴”의 직접적인 치료를 목적으로 1일이상 입원 중 “뇌출혈 및 뇌경색증”으로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 1,000 만원 [1년미만] 500 만원""","1,000만원",8740 원,"7,480 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환통원보장특약(간편가입)(무해약환급금형),"피보험자가 이 계약의 보험기간 중 “뇌혈관질환”으로 진단확정 받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 통원하였을 경우(1일 1회만 보장하며, 연간 30회에 한함) ※ 이외 보장담보는 상품요약서 참조","1,000만원",15440 원,"12,890 원",,"12,890 원","8,316 원",2.50%,,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험(무배당)_무해약환급금형,특약,뇌심질환통원보장특약(간편가입)(무해약환급금형),"피보험자가 이 계약의 보험기간 중 “뇌혈관질환”으로 진단확정 받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 통원하였을 경우(1일 1회만 보장하며, 연간 30회에 한함) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 통원 1회당 10만원 [1년미만] 통원 1회당 5만원""","1,000만원",15440 원,"12,890 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험 [D](무배당)_무해약환급금형,주계약,사망보험금,"[2 년이상] 3,000 만원 [2 년미만] 1,500 만원 (다만, 계약일로부터 2년 미만 에 재해 이외의 원인으로 사망 하였을 경우 50% 감액 지급하 며, 재해를 원인으로 지급사유 가 발생한 경우 100% 지급)","3,000만원",47850 원,"37,050 원",,"37,050 원","23,903 원",2.50%,,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험 [D](무배당)_무해약환급금형,주계약,사망보험금,보험기간 중 피보험자가 사망하였을 경우,"[2 년이상] 3,000 만원 [2 년미만] 1,500 만원 (다만, 계약일로부터 2년 미만 에 재해 이외의 원인으로 사망 하였을 경우 50% 감액 지급하 며, 재해를 원인으로 지급사유 가 발생한 경우 100% 지급)","3,000만원",47850 원,"37,050 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험 [D](무배당)_무해약환급금형,특약,뇌출혈및급성심근경색증진단보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 뇌출혈로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","1,000만원",3650 원,"2,340 원",,"2,340 원","1,509 원",2.50%,,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험 [D](무배당)_무해약환급금형,특약,뇌출혈및급성심근경색증진단보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 뇌출혈로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 1,000 만원 [1년미만] 500 만원""","1,000만원",3650 원,"2,340 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험 [D](무배당)_무해약환급금형,특약,뇌심질환수술보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌혈관질환”으로 진단확정받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 관혈수술을 받았을 경우(다만, 최초 1회에 한함) ※ 이외 보장담보는 상품요약서 참조","1,000만원",9160 원,"6,260 원",,"6,260 원","4,038 원",2.50%,,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험 [D](무배당)_무해약환급금형,특약,뇌심질환수술보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌혈관질환”으로 진단확정받고, 그 “뇌혈관질환”의 직접적인 치료를 목적으로 관혈수술을 받았을 경우(다만, 최초 1회에 한함) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 2,000만원 [1년미만] 1,000만원 ※ 대뇌내시경, 흉강경수술 및 복강경수술의 경우 관혈수술에 준하여 보험금 지급""","1,000만원",9160 원,"6,260 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
교보생명,교보간편뇌·심장보험 [D](무배당)_무해약환급금형,특약,뇌심질환치료보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌출혈 및 뇌경색증”으로 진단확정되고 “뇌출혈 및 뇌경색증”의 직접적인 치료를 목적으로 1일이상 입원 중 “폐렴”으로 진단이 확정되거나, “폐렴”으로 진단이 확정되고 “폐렴”의 직접적인 치료를 목적으로 1일이상 입원 중 “뇌출혈 및 뇌경색증”으로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","1,000만원",8740 원,"7,480 원",,"7,480 원","4,825 원",2.50%,,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001,보장성_상품비교_20260406102527983.xls,교보생명,교보간편뇌·심장보험 [D](무배당)_무해약환급금형,특약,뇌심질환치료보장특약(간편가입)(무해약환급금형),"피보험자가 이 특약의 보험기간 중 “뇌출혈 및 뇌경색증”으로 진단확정되고 “뇌출혈 및 뇌경색증”의 직접적인 치료를 목적으로 1일이상 입원 중 “폐렴”으로 진단이 확정되거나, “폐렴”으로 진단이 확정되고 “폐렴”의 직접적인 치료를 목적으로 1일이상 입원 중 “뇌출혈 및 뇌경색증”으로 진단확정되었을 경우(다만, 최초 1회에 한하여 지급) ※ 이외 보장담보는 상품요약서 참조","""[1년이상] 1,000 만원 [1년미만] 500 만원""","1,000만원",8740 원,"7,480 원",2.50%,,,132.90%,149.90%,,,,,기본형,무해지/저해지환급,,,,,비갱신형,비유니버셜,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 20세 ~ 70세 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 기준 : 40세 가입, 90세만기, 30년납, 월납, 주계약 가입금액 : 3,000만원 ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/30년납 2. 주계약 가입한도 : 100만원 ~ 3,000만원 3. 보험가격지수 예시 기준: 40세가입, 90세만기, 30년납, 월납, 주계약 가입금액 3,000만원 4. 교보헬스케어서비스(뇌·심장특화형)",1588-1001
